,seller_type,year,mileage,name,torque,seats,km_driven,transmission,owner,engine,max_power,fuel
330,Individual,1999,17.3 kmpl,Maruti Zen LX,78Nm@ 4500rpm,5.0,60000,Manual,Fourth & Above Owner,993 CC,60 bhp,Petrol
331,Trustmark Dealer,2019,22.0 kmpl,Maruti Swift AMT VVT VXI,113Nm@ 4200rpm,5.0,5621,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
332,Individual,2011,20.92 kmpl,Maruti Alto K10 2010-2014 VXI,90Nm@ 3500rpm,5.0,50000,Manual,Third Owner,998 CC,67.1 bhp,Petrol
333,Individual,2008,16.8 kmpl,Tata Indica V2 DLS TC,"12.5@ 2,500(kgm@ rpm)",5.0,40000,Manual,First Owner,1405 CC,62 bhp,Diesel
334,Individual,2007,14.7 kmpl,Chevrolet Aveo U-VA 1.2 LT,"11.2@ 4,400(kgm@ rpm)",5.0,60000,Manual,Third Owner,1150 CC,76 bhp,Petrol
335,Individual,2015,27.39 kmpl,Maruti Baleno Zeta 1.3,190Nm@ 2000rpm,5.0,70000,Manual,Second Owner,1248 CC,74 bhp,Diesel
336,Individual,2015,18.6 kmpl,Hyundai i20 Magna 1.2,114.7Nm@ 4000rpm,5.0,35000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
337,Individual,2013,14.84 kmpl,Mercedes-Benz New C-Class 220 CDI AT,400Nm@ 1400-2800rpm,5.0,25000,Automatic,First Owner,2143 CC,170 bhp,Diesel
338,Individual,2007,19.7 kmpl,Maruti Alto LX BSIII,62Nm@ 3000rpm,5.0,110000,Manual,Second Owner,796 CC,46.3 bhp,Petrol
339,Dealer,2011,18.8 kmpl,Tata Manza Aqua Quadrajet,200Nm@ 1750-3000rpm,5.0,97343,Manual,First Owner,1248 CC,90 bhp,Diesel
340,Individual,2011,15.1 kmpl,Mahindra XUV500 W8 4WD,330Nm@ 1600-2800rpm,7.0,80000,Manual,Third Owner,2179 CC,140 bhp,Diesel
341,Individual,2012,23.2 kmpl,Maruti Ritz VDi,190Nm@ 2000rpm,5.0,70000,Manual,First Owner,1248 CC,73.94 bhp,Diesel
342,Individual,2012,20.36 kmpl,Hyundai i10 Magna,111.7Nm@ 4000rpm,5.0,27000,Manual,First Owner,1197 CC,78.9 bhp,Petrol
343,Individual,2016,20.4 kmpl,Maruti Swift VXI Deca,113Nm@ 4200rpm,5.0,32000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
344,Individual,2011,13.5 kmpl,Mahindra Scorpio M2DI,277.5Nm@ 1700-2200rpm,5.0,80000,Manual,Second Owner,2179 CC,115 bhp,Diesel
345,Individual,2012,21.12 kmpl,Tata Manza Aura Quadrajet BS IV,200Nm@ 1750-3000rpm,5.0,86000,Manual,First Owner,1248 CC,88.8 bhp,Diesel
346,Individual,2018,20.3 kmpl,Hyundai Santro Asta BSIV,99Nm@ 4500rpm,5.0,25000,Manual,First Owner,1086 CC,68 bhp,Petrol
347,Individual,2006,14.0 kmpl,Maruti Wagon R LXI BSIII,"8.6@ 3,500(kgm@ rpm)",5.0,100000,Manual,Second Owner,1061 CC,64 bhp,Petrol
348,Individual,2014,22.32 kmpl,Hyundai Verna 1.6 SX CRDi (O),259.8Nm@ 1900-2750rpm,5.0,29340,Manual,First Owner,1582 CC,126.32 bhp,Diesel
349,Individual,2015,22.74 kmpl,Maruti Alto 800 Base,69Nm@ 3500rpm,5.0,50000,Manual,Second Owner,796 CC,47.3 bhp,Petrol
350,Individual,2017,17.6 kmpl,Tata Hexa XT,400Nm@ 1750-2500rpm,7.0,45000,Manual,First Owner,2179 CC,153.86 bhp,Diesel
351,Dealer,2017,28.09 kmpl,Maruti Ciaz S 1.3,200Nm@ 1750rpm,5.0,47747,Manual,First Owner,1248 CC,88.5 bhp,Diesel
352,Individual,2019,22.95 kmpl,Tata Zest Quadrajet 1.3 75PS XE,190Nm@ 1750-3000rpm,5.0,15000,Manual,First Owner,1248 CC,74 bhp,Diesel
353,Individual,2009,13.6 kmpl,Mahindra Bolero SLE,180 Nm at 1440-1500rpm,7.0,170000,Manual,Second Owner,2523 CC,63 bhp,Diesel
354,Individual,2011,13.6 kmpl,Mahindra Bolero SLX,180 Nm at 1440-1500rpm,7.0,100000,Manual,Second Owner,2523 CC,63 bhp,Diesel
355,Individual,2009,18.1 kmpl,Hyundai Verna CRDi SX ABS,"24@ 1,900-2,750(kgm@ rpm)",5.0,90000,Manual,Second Owner,1493 CC,110 bhp,Diesel
356,Individual,2013,15.64 kmpl,Tata Indigo eCS GLS,100Nm@ 2700rpm,5.0,120000,Manual,First Owner,1193 CC,64.1 bhp,Petrol
357,Dealer,2014,22.54 kmpl,Hyundai i20 Diesel Asta Option,219.7Nm@ 1500-2750rpm,5.0,76000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
358,Dealer,2017,13.68 kmpl,Toyota Innova Crysta 2.4 ZX MT BSIV,343Nm@ 1400-2800rpm,7.0,33019,Manual,First Owner,2393 CC,147.8 bhp,Diesel
359,Individual,2015,18.49 kmpl,Mahindra TUV 300 T8,240Nm@ 1600-2800rpm,7.0,110000,Manual,Second Owner,1493 CC,100 bhp,Diesel
360,Individual,2017,23.95 kmpl,Maruti Alto K10 VXI,90Nm@ 3500rpm,5.0,3564,Manual,First Owner,998 CC,67.05 bhp,Petrol
361,Dealer,2016,16.3 kmpl,Hyundai Elantra S,177.5Nm@ 4700rpm,5.0,49900,Manual,First Owner,1797 CC,147.5 bhp,Petrol
362,Individual,2011,10.5 kmpl,Mitsubishi Pajero 2.8 SFX BSIII Single Tone,292Nm@ 2000rpm,6.0,120000,Manual,Second Owner,2835 CC,116.9 bhp,Diesel
363,Individual,2019,21.63 kmpl,Maruti Celerio X ZXI BSIV,90Nm@ 3500rpm,5.0,7000,Manual,First Owner,998 CC,67 bhp,Petrol
364,Dealer,2017,17.9 kmpl,Mercedes-Benz GLA Class 200 CDI SPORT,300Nm@ 1600-3000rpm,5.0,23000,Automatic,First Owner,2143 CC,136 bhp,Diesel
365,Individual,2016,19.44 kmpl,Datsun GO Plus T BSIV,104Nm@ 4000rpm,7.0,70000,Manual,Second Owner,1198 CC,67 bhp,Petrol
366,Dealer,2016,25.17 kmpl,Renault KWID RXT,72Nm@ 4386rpm,5.0,66693,Manual,First Owner,799 CC,53.3 bhp,Petrol
367,Individual,2018,24.7 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,20000,Manual,First Owner,796 CC,47.3 bhp,Petrol
368,Individual,2012,15.96 kmpl,Mahindra Bolero 2011-2019 SLX,195Nm@ 1400-2200rpm,7.0,120000,Manual,First Owner,2523 CC,62.1 bhp,Diesel
369,Dealer,2018,27.39 kmpl,Maruti Baleno Alpha 1.3,190Nm@ 2000rpm,5.0,38817,Manual,First Owner,1248 CC,74 bhp,Diesel
370,Individual,2012,21.1 km/kg,Hyundai EON LPG Era Plus,74.5Nm@ 4000rpm,5.0,120000,Manual,First Owner,814 CC,55.2 bhp,LPG
371,Individual,2006,10.5 kmpl,Mahindra Scorpio 2.6 CRDe,290Nm@ 1800-2800rpm,8.0,120000,Manual,Third Owner,2179 CC,120 bhp,Diesel
372,Individual,2011,17.6 kmpl,Toyota Etios G,132Nm@ 3000rpm,5.0,110000,Manual,First Owner,1496 CC,88.73 bhp,Petrol
373,Individual,2018,21.1 kmpl,Maruti Baleno RS 1.0 Petrol,150Nm@ 1700-4500rpm,5.0,15000,Manual,First Owner,998 CC,100.5 bhp,Petrol
374,Individual,2015,19.01 kmpl,Renault Duster 110PS Diesel RxL,248Nm@ 2250rpm,5.0,136000,Manual,First Owner,1461 CC,108.45 bhp,Diesel
375,Individual,2011,20.0 kmpl,Ford Figo Diesel Titanium,160Nm@ 2000rpm,5.0,103000,Manual,Third Owner,1399 CC,68 bhp,Diesel
376,Individual,2015,20.73 kmpl,Maruti Ciaz VXi Plus,130Nm@ 4000rpm,5.0,26000,Manual,First Owner,1373 CC,91.1 bhp,Petrol
377,Dealer,2014,26.0 kmpl,Honda City i DTec V,200Nm@ 1750rpm,5.0,72000,Manual,First Owner,1498 CC,98.6 bhp,Diesel
378,Individual,2018,20.3 kmpl,Hyundai Santro Sportz BSIV,99Nm@ 4500rpm,5.0,7800,Manual,First Owner,1086 CC,68 bhp,Petrol
379,Individual,2016,17.8 kmpl,Honda City i VTEC VX Option BL,145Nm@ 4600rpm,5.0,22000,Manual,First Owner,1497 CC,117.3 bhp,Petrol
380,Individual,2017,22.54 kmpl,Hyundai i20 2015-2017 Asta 1.4 CRDi,219.7Nm@ 1500-2750rpm,5.0,40000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
381,Individual,2000,16.1 kmpl,Maruti 800 Std,59Nm@ 2500rpm,4.0,56194,Manual,Fourth & Above Owner,796 CC,37 bhp,Petrol
382,Individual,2009,19.7 kmpl,Maruti Alto LXi,62Nm@ 3000rpm,5.0,54000,Manual,First Owner,796 CC,46.3 bhp,Petrol
383,Individual,2015,21.14 kmpl,Skoda Rapid 1.5 TDI Elegance,250Nm@ 1500-2500rpm,5.0,101500,Manual,Second Owner,1498 CC,103.52 bhp,Diesel
384,Dealer,2018,16.8 kmpl,Volvo V40 D3 R-Design,350Nm@ 1500-2750rpm,5.0,2000,Automatic,First Owner,1984 CC,150 bhp,Diesel
385,Dealer,2015,24.4 kmpl,Hyundai Xcent 1.1 CRDi Base,180.4Nm@ 1750-2500rpm,5.0,55000,Manual,First Owner,1120 CC,71 bhp,Diesel
386,Dealer,2019,22.37 kmpl,Lexus ES 300h,202Nm@ 3600-5200rpm,5.0,20000,Automatic,First Owner,2487 CC,214.56 bhp,Petrol
387,Individual,2015,16.0 kmpl,Mahindra XUV500 W10 2WD,330Nm@ 1600-2800rpm,7.0,110000,Manual,First Owner,2179 CC,140 bhp,Diesel
388,Individual,2011,12.05 kmpl,Mahindra Scorpio SLE BSIV,290Nm@ 1800-2800rpm,8.0,110000,Manual,Second Owner,2179 CC,120 bhp,Diesel
389,Dealer,2017,15.4 kmpl,Mahindra Scorpio S4 Plus,280Nm@ 1800-2800rpm,7.0,52236,Manual,First Owner,2179 CC,120 bhp,Diesel
390,Individual,2015,23.95 kmpl,Maruti Alto K10 VXI AGS,90Nm@ 3500rpm,5.0,38000,Automatic,Second Owner,998 CC,67.05 bhp,Petrol
391,Individual,2014,12.05 kmpl,Mahindra Scorpio 2009-2014 SLE 7S BSIV,290Nm@ 1800-2800rpm,7.0,126000,Manual,First Owner,2179 CC,120 bhp,Diesel
392,Individual,2015,14.1 kmpl,Tata Safari Storme EX,320Nm@ 1500-3000rpm,7.0,110000,Manual,First Owner,2179 CC,147.94 bhp,Diesel
393,Individual,2012,23.4 kmpl,Maruti Swift Dzire ZDI,190Nm@ 2000rpm,5.0,100000,Manual,Second Owner,1248 CC,74 bhp,Diesel
394,Individual,2002,14.07 kmpl,Tata Sumo SE,250Nm@ 1600-2000rpm,7.0,120000,Manual,First Owner,2956 CC,83.1 bhp,Diesel
395,Individual,2007,18.2 kmpl,Maruti Zen Estilo 1.1 LX BSIII,84Nm@ 3500rpm,5.0,80000,Manual,Second Owner,1061 CC,64 bhp,Petrol
396,Dealer,2016,14.3 kmpl,Skoda Rapid 1.6 MPI AT Elegance,153Nm@ 3800rpm,5.0,11000,Automatic,First Owner,1598 CC,103.5 bhp,Petrol
397,Individual,2015,23.1 kmpl,Maruti Celerio ZXI,90Nm@ 3500rpm,5.0,60000,Manual,First Owner,998 CC,67.04 bhp,Petrol
398,Individual,2014,25.2 kmpl,Maruti Swift LDI BSIV,190Nm@ 2000rpm,5.0,70000,Manual,First Owner,1248 CC,74 bhp,Diesel
399,Individual,2019,21.5 kmpl,Tata Nexon 1.5 Revotorq XZA Plus,260Nm@ 1500-2750rpm,5.0,10000,Automatic,First Owner,1497 CC,108.5 bhp,Diesel
400,Individual,2011,23.03 kmpl,Tata Indigo CS eLX BS IV,140Nm@ 1800-3000rpm,5.0,120000,Manual,First Owner,1396 CC,69 bhp,Diesel
401,Individual,2016,24.52 kmpl,Maruti Ertiga SHVS ZDI Plus,200Nm@ 1750rpm,7.0,50000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
402,Individual,1999,16.1 kmpl,Maruti 800 AC,59Nm@ 2500rpm,4.0,80000,Manual,Third Owner,796 CC,37 bhp,Petrol
403,Dealer,2014,22.74 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,43381,Manual,Second Owner,796 CC,47.3 bhp,Petrol
404,Individual,2016,24.8 kmpl,Hyundai Verna 1.4 CRDi,219.7Nm@ 1750-2750rpm,5.0,40000,Manual,First Owner,1396 CC,88.7 bhp,Diesel
405,Individual,2010,26.0 kmpl,Tata Nano Cx BSIV,"48@ 3,000+/-500(NM@ rpm)",4.0,50000,Manual,Third Owner,624 CC,35 bhp,Petrol
406,Dealer,2019,18.15 kmpl,Hyundai Venue SX Plus Turbo DCT BSIV,171.6Nm@ 1500-4000rpm,5.0,3500,Automatic,First Owner,998 CC,118.35 bhp,Petrol
407,Individual,2010,15.6 kmpl,Ford Figo Petrol EXI,102Nm@ 4000rpm,5.0,30000,Manual,First Owner,1196 CC,70 bhp,Petrol
408,Individual,2008,17.8 kmpl,Maruti Swift Ldi BSIII,190Nm@ 2000rpm,5.0,152500,Manual,First Owner,1248 CC,75 bhp,Diesel
409,Individual,2018,21.5 kmpl,Tata Nexon 1.5 Revotorq XM,260Nm@ 1500-2750rpm,5.0,9500,Manual,First Owner,1497 CC,108.5 bhp,Diesel
410,Individual,2005,19.7 kmpl,Maruti Alto LXi BSIII,62Nm@ 3000rpm,5.0,49455,Manual,First Owner,796 CC,46.3 bhp,Petrol
411,Individual,2010,23.0 kmpl,Hyundai i20 1.4 CRDi Era,22.4 kgm at 1750-2750rpm,5.0,90000,Manual,Second Owner,1396 CC,90 bhp,Diesel
412,Individual,2016,15.37 kmpl,Maruti Eeco 7 Seater Standard BSIV,101Nm@ 3000rpm,7.0,100000,Manual,Third Owner,1196 CC,73 bhp,Petrol
413,Individual,2003,14.2 kmpl,Ford Ikon 1.6 Really Sport,130@ 2500(kgm@ rpm),5.0,80000,Manual,Third Owner,1597 CC,92 bhp,Petrol
414,Individual,2012,19.4 kmpl,Tata Indica Vista TDI LS,135.4Nm@ 2500rpm,5.0,90000,Manual,Third Owner,1405 CC,70 bhp,Diesel
415,Dealer,2019,17.0 kmpl,Mahindra XUV300 W8 Option BSIV,200Nm@ 2000-3500rpm,5.0,16500,Manual,First Owner,1197 CC,110 bhp,Petrol
416,Individual,2014,23.4 kmpl,Maruti Swift Dzire VDI,190Nm@ 2000rpm,5.0,120000,Manual,Second Owner,1248 CC,74 bhp,Diesel
417,Individual,2014,15.96 kmpl,Mahindra Bolero 2011-2019 SLX,195Nm@ 1400-2200rpm,7.0,65000,Manual,Second Owner,2523 CC,62.1 bhp,Diesel
418,Individual,2017,24.3 kmpl,Maruti Vitara Brezza ZDi Plus,200Nm@ 1750rpm,5.0,25000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
419,Individual,2010,15.5 kmpl,Maruti SX4 ZXI MT BSIV Leather,145Nm@ 4100rpm,5.0,155000,Manual,Second Owner,1586 CC,103.3 bhp,Petrol
420,Dealer,2012,11.5 kmpl,Toyota Fortuner 3.0 Diesel,343Nm@ 1400-3400rpm,7.0,129627,Manual,First Owner,2982 CC,171 bhp,Diesel
421,Individual,2012,20.54 kmpl,Volkswagen Vento Diesel Highline,250Nm@ 1500-2500rpm,5.0,120000,Manual,Second Owner,1598 CC,103.6 bhp,Diesel
422,Individual,2012,20.0 kmpl,Ford Figo Diesel EXI,160Nm@ 2000rpm,5.0,54000,Manual,First Owner,1399 CC,68 bhp,Diesel
423,Individual,2005,19.7 kmpl,Maruti Alto LX,62Nm@ 3000rpm,5.0,100000,Manual,Fourth & Above Owner,796 CC,46.3 bhp,Petrol
424,Individual,2014,22.3 kmpl,Tata Indica Vista Quadrajet VX Tech,190Nm@ 1750-3000rpm,5.0,120000,Manual,First Owner,1248 CC,74 bhp,Diesel
425,Individual,2007,17.2 kmpl,Tata Indica V2 DLS,"8.5@ 2,500(kgm@ rpm)",5.0,120000,Manual,Third Owner,1396 CC,53.5 bhp,Diesel
426,Individual,2015,16.0 kmpl,Mahindra XUV500 W8 4WD,330Nm@ 1600-2800rpm,7.0,173000,Manual,First Owner,2179 CC,140 bhp,Diesel
427,Individual,2011,12.05 kmpl,Mahindra Scorpio LX,290Nm@ 1800-2800rpm,9.0,80000,Manual,Second Owner,2179 CC,120 bhp,Diesel
428,Individual,2013,20.51 kmpl,Maruti Wagon R VXI BS IV,90Nm@ 3500rpm,5.0,57000,Manual,Second Owner,998 CC,67.04 bhp,Petrol
429,Individual,2015,20.51 kmpl,Maruti Wagon R VXI BS IV,90Nm@ 3500rpm,5.0,40000,Manual,First Owner,998 CC,67.04 bhp,Petrol
430,Individual,2019,20.14 kmpl,Hyundai Xcent 1.2 VTVT E,113.75nm@ 4000rpm,5.0,60000,Manual,First Owner,1197 CC,81.86 bhp,Petrol
431,Trustmark Dealer,2016,18.2 kmpl,Honda Jazz VX,110Nm@ 4800rpm,5.0,56494,Manual,First Owner,1199 CC,88.7 bhp,Petrol
432,Individual,2017,23.84 kmpl,Tata Tiago 1.2 Revotron XZ,114Nm@ 3500rpm,5.0,42000,Manual,First Owner,1199 CC,84 bhp,Petrol
433,Individual,2006,19.7 kmpl,Maruti Alto LX,62Nm@ 3000rpm,5.0,42500,Manual,First Owner,796 CC,46.3 bhp,Petrol
434,Individual,2017,21.4 kmpl,Maruti Baleno Delta 1.2,115Nm@ 4000rpm,5.0,46000,Manual,First Owner,1197 CC,83.1 bhp,Petrol
435,Individual,2014,19.4 kmpl,Honda Brio S MT,109Nm@ 4500rpm,5.0,60000,Manual,Second Owner,1198 CC,86.8 bhp,Petrol
436,Individual,2011,18.3 kmpl,Chevrolet Cruze LTZ,327Nm@ 2600rpm,5.0,100000,Manual,First Owner,1991 CC,147.9 bhp,Diesel
437,Dealer,2013,13.73 kmpl,Renault Koleos 2.0 Diesel,320Nm@ 2000rpm,5.0,75010,Automatic,First Owner,1995 CC,148 bhp,Diesel
438,Individual,2013,13.7 kmpl,Tata Aria Pride,320Nm@ 1700-2700rpm,7.0,110000,Manual,Second Owner,2179 CC,138.1 bhp,Diesel
439,Individual,2017,21.38 kmpl,Hyundai Creta 1.4 CRDi Base,219.7Nm@ 1500-2750rpm,5.0,60000,Manual,First Owner,1396 CC,88.7 bhp,Diesel
440,Individual,2019,18.0 kmpl,Volvo XC40 D4 Inscription BSIV,400Nm,5.0,20000,Automatic,First Owner,1969 CC,190 bhp,Diesel
441,Individual,2011,13.6 kmpl,Mahindra Bolero DI BSIII,180 Nm at 1440-1500rpm,7.0,120000,Manual,Fourth & Above Owner,2523 CC,63 bhp,Diesel
442,Individual,2020,22.05 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,5000,Manual,First Owner,796 CC,47.3 bhp,Petrol
443,Individual,2012,21.1 kmpl,Hyundai EON Magna Plus,74.5Nm@ 4000rpm,5.0,80000,Manual,Second Owner,814 CC,55.2 bhp,Petrol
444,Individual,2008,17.3 kmpl,Maruti Wagon R LX BSIII,"8.6@ 3,500(kgm@ rpm)",5.0,100000,Manual,Third Owner,1061 CC,64 bhp,Petrol
445,Individual,2013,17.68 kmpl,Audi A6 2.0 TDI Premium Plus,380Nm@ 1750-2500rpm,5.0,35000,Automatic,Second Owner,1968 CC,174.33 bhp,Diesel
446,Individual,2016,24.52 kmpl,Maruti Ertiga SHVS ZDI Plus,200Nm@ 1750rpm,7.0,54000,Manual,Second Owner,1248 CC,88.5 bhp,Diesel
447,Individual,2017,18.49 kmpl,Mahindra TUV 300 T8,240Nm@ 1600-2800rpm,7.0,120000,Manual,First Owner,1493 CC,100 bhp,Diesel
448,Individual,2010,10.93 kmpl,Mercedes-Benz E-Class E 250 Elegance,245Nm@ 5000rpm,5.0,35000,Automatic,Second Owner,2497 CC,204 bhp,Petrol
449,Individual,2017,21.1 kmpl,Hyundai EON Era Plus,74.5Nm@ 4000rpm,5.0,8000,Manual,First Owner,814 CC,55.2 bhp,Petrol
450,Individual,2016,26.0 kmpl,Honda City i DTec E,200Nm@ 1750rpm,5.0,80000,Manual,First Owner,1498 CC,98.6 bhp,Diesel
451,Individual,2019,17.0 kmpl,Hyundai Verna VTVT 1.6 SX,151Nm@ 4850rpm,5.0,15000,Manual,First Owner,1591 CC,121.3 bhp,Petrol
452,Individual,2011,16.36 kmpl,Hyundai Accent Executive,124.6Nm@ 3500rpm,5.0,70000,Manual,First Owner,1495 CC,93.7 bhp,Petrol
453,Individual,2012,15.0 kmpl,Skoda Rapid 1.6 MPI Elegance,153Nm@ 3800rpm,5.0,116000,Manual,First Owner,1598 CC,103.5 bhp,Petrol
454,Individual,2014,19.0 kmpl,Maruti A-Star Vxi,90Nm@ 3500rpm,5.0,40000,Manual,First Owner,998 CC,66.1 bhp,Petrol
455,Individual,2012,19.09 kmpl,Tata Indigo CS LS (TDI) BS III,135Nm@ 2500rpm,5.0,120000,Manual,Third Owner,1396 CC,69 bhp,Diesel
456,Dealer,2017,20.5 kmpl,Hyundai Creta 1.6 SX Diesel,259.87NM@ 1500-3000rpm,5.0,41000,Manual,First Owner,1582 CC,126.2 bhp,Diesel
457,Dealer,2016,16.3 kmpl,Hyundai Elantra S,177.5Nm@ 4700rpm,5.0,49900,Manual,First Owner,1797 CC,147.5 bhp,Petrol
458,Individual,2015,26.59 kmpl,Maruti Swift Dzire VDI Optional,190Nm@ 2000rpm,5.0,80000,Manual,First Owner,1248 CC,74 bhp,Diesel
459,Individual,2019,19.0 kmpl,Ford Freestyle Trend Petrol BSIV,120Nm@ 4250rpm,5.0,10000,Manual,First Owner,1194 CC,94.68 bhp,Petrol
460,Individual,2017,22.54 kmpl,Hyundai i20 1.4 Sportz,219.7Nm@ 1500-2750rpm,5.0,32331,Manual,Second Owner,1396 CC,88.73 bhp,Diesel
461,Trustmark Dealer,2013,12.99 kmpl,Toyota Innova 2.5 VX (Diesel) 7 Seater,200Nm@ 1200-3600rpm,7.0,79328,Manual,Second Owner,2494 CC,100.6 bhp,Diesel
462,Individual,2014,19.34 kmpl,Nissan Micra XV CVT,104Nm@ 4400rpm,5.0,26000,Automatic,First Owner,1198 CC,76 bhp,Petrol
463,Individual,2017,16.55 kmpl,Mahindra Thar CRDe,247Nm@ 1800-2000rpm,6.0,60000,Manual,Second Owner,2498 CC,105 bhp,Diesel
464,Individual,2019,21.21 kmpl,Maruti Swift AMT VXI,113Nm@ 4200rpm,5.0,7500,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
465,Individual,2015,12.99 kmpl,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,200Nm@ 1400-3400rpm,7.0,170000,Manual,First Owner,2494 CC,100.6 bhp,Diesel
466,Individual,2014,19.81 kmpl,Hyundai i10 Magna 1.1L,99.04Nm@ 4500rpm,5.0,100000,Manual,First Owner,1086 CC,68.05 bhp,Petrol
467,Individual,2015,12.99 kmpl,Toyota Innova 2.5 GX (Diesel) 8 Seater,200Nm@ 1200-3600rpm,8.0,50000,Manual,First Owner,2494 CC,100.6 bhp,Diesel
468,Individual,2015,21.19 kmpl,Hyundai i20 Active 1.4,219.66nm@ 1500-2750rpm,5.0,126000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
469,Individual,2009,13.9 kmpl,Hyundai Verna XXi ABS (Petrol),"14.9@ 3,000(kgm@ rpm)",5.0,214000,Manual,Second Owner,1599 CC,103.2 bhp,Petrol
470,Individual,2014,26.0 kmpl,Honda City i DTEC S,200Nm@ 1750rpm,5.0,110000,Manual,Second Owner,1498 CC,98.6 bhp,Diesel
471,Dealer,2009,,Hyundai Santro GLS I - Euro II,,,56000,Manual,Second Owner,,,Petrol
472,Individual,2009,19.7 kmpl,Maruti Alto LXi,62Nm@ 3000rpm,5.0,70000,Manual,Third Owner,796 CC,46.3 bhp,Petrol
473,Individual,2018,20.3 kmpl,Tata Tigor 1.2 Revotron XT,114Nm@ 3500rpm,5.0,35000,Manual,First Owner,1199 CC,84 bhp,Petrol
474,Individual,2018,22.0 kmpl,Maruti Swift Dzire LXI 1.2 BS IV,113Nm@ 4200rpm,5.0,5000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
475,Individual,2005,18.9 kmpl,Maruti Wagon R LXI,90Nm@ 3500rpm,5.0,140000,Manual,Second Owner,998 CC,67.1 bhp,Petrol
476,Individual,2003,10.5 kmpl,Mahindra Scorpio 2.6 SLX Turbo 7 Seater,290Nm@ 1800-2800rpm,7.0,120000,Manual,Second Owner,2179 CC,120 bhp,Diesel
477,Individual,2017,20.85 kmpl,Maruti Swift Dzire LXI,115Nm@ 4000rpm,5.0,55000,Manual,First Owner,1197 CC,83.14 bhp,Petrol
478,Individual,2009,12.9 kmpl,Honda Civic 1.8 V AT,172Nm@ 4300rpm,5.0,105000,Automatic,Second Owner,1799 CC,130 bhp,Petrol
479,Individual,2016,20.4 kmpl,Maruti Swift VXI Optional,113Nm@ 4200rpm,5.0,20000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
480,Individual,2012,19.0 kmpl,Tata Indica V2 Turbomax DLS BS IV,135 Nm at 2500 rpm,5.0,120000,Manual,Second Owner,1405 CC,71 bhp,Diesel
481,Individual,2013,20.46 kmpl,Renault Duster 85PS Diesel RxL Optional,200Nm@ 1900rpm,5.0,44500,Manual,Second Owner,1461 CC,83.8 bhp,Diesel
482,Dealer,2017,24.3 kmpl,Maruti Vitara Brezza ZDi Plus Dual Tone,200Nm@ 1750rpm,5.0,32000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
483,Individual,2015,21.64 kmpl,Renault Scala Diesel RxE,200Nm@ 2000rpm,5.0,110000,Manual,First Owner,1461 CC,84.8 bhp,Diesel
484,Individual,2017,14.1 kmpl,Tata Safari Storme EX,320Nm@ 1500-3000rpm,7.0,20000,Manual,First Owner,2179 CC,147.94 bhp,Diesel
485,Individual,2018,23.0 kmpl,Ford EcoSport 1.5 Diesel Ambiente BSIV,205Nm@ 1750-3250rpm,5.0,17000,Manual,First Owner,1498 CC,98.96 bhp,Diesel
486,Individual,2016,25.32 kmpl,Mahindra KUV 100 mFALCON D75 K8,190Nm@ 1750-2250rpm,6.0,49600,Manual,Second Owner,1198 CC,77 bhp,Diesel
487,Individual,2016,18.9 kmpl,Hyundai Grand i10 Sportz,114Nm@ 4000rpm,5.0,13500,Manual,First Owner,1197 CC,82 bhp,Petrol
488,Dealer,2016,18.25 kmpl,Audi A4 35 TDI Premium Plus,400Nm@ 1750-3000rpm,5.0,46000,Automatic,First Owner,1968 CC,187.74 bhp,Diesel
489,Individual,2011,20.0 kmpl,Ford Figo Diesel Titanium,160Nm@ 2000rpm,5.0,90000,Manual,Second Owner,1399 CC,68 bhp,Diesel
490,Individual,2014,11.79 kmpl,Mahindra Scorpio VLX 2WD ABS AT BSIII,290Nm@ 1800-2800rpm,8.0,139000,Automatic,First Owner,2179 CC,120 bhp,Diesel
491,Dealer,2017,22.7 kmpl,Ford Ecosport 1.5 DV5 MT Titanium Optional,204Nm@ 2000-2750rpm,5.0,77524,Manual,First Owner,1498 CC,89.84 bhp,Diesel
492,Individual,2013,20.77 kmpl,Maruti Ertiga ZDI,200Nm@ 1750rpm,7.0,37500,Manual,Second Owner,1248 CC,88.8 bhp,Diesel
493,Dealer,2015,18.9 kmpl,Hyundai Grand i10 Asta,114Nm@ 4000rpm,5.0,40000,Manual,First Owner,1197 CC,82 bhp,Petrol
494,Individual,2013,21.64 kmpl,Renault Scala Diesel RxZ,200Nm@ 2000rpm,5.0,120000,Manual,First Owner,1461 CC,84.8 bhp,Diesel
